Type,Type,种类,,,,,,
Unknown,Unknown,未知,未知,알 수 없음,"""\u041D\u0435\u0442 \u0440\u0435\u0437\u0443\u043B\u044C\u0442\u0430\u0442\u0430.","I can't translate ""Unknown"" as it is not a coherent phrase. Can you please","""No se puede traducir algo que no tiene texto. Por favor, proporciona",無効な入力
Upgrade forest bird capacity to,Upgrade forest bird capacity to,升级鸟的容量到,,,,,,
Vibrant Notebook,Vibrant Notebook,活力记事本,,,,,,
Vibrant Notebook Desc,A notebook in bright lively colors,充满活力的记事本,,,,,,
Vibrant Timer,Vibrant Timer,活力番茄钟,,,,,,
Vibrant Timer Desc,A timer in energetic colors,活力色彩的番茄钟,,,,,,
Vintage Book,Vintage Book,古典图鉴,,,,,,
Vintage Book Desc,A bird book in vintage style,复古风格鸟类图鉴,,,,,,
Violet Bloom,Violet Bloom,紫山花,,,,,,
Violet Bloom Desc,A purple flower among mountain road,山地边上的紫花,,,,,,
Volume,Volume,音量,,,,,,
Vulture,,秃鹫,,,,,,
VultureDescription,"A calm sky cleaner drifting on warm winds. Misunderstood but vital, it",耐心的清道夫，乘暖气流高飞，以敏锐目光清理大地。虽被误解，却维持自然的循环与平衡。,,,,,,
Wallp,Wallpaper Mode currently supports single-monitor only,壁纸模式只支持单屏显示器,,,,,,
Wallpaper,Wallpaper,壁纸模式,壁紙模式,Tapete,Papel de parede,Papier peint,Papel de pared,Carta da parati
WallpaperSingleMonitorOnly,Wallpaper Mode is single-monitor only,壁纸模式仅支持单屏哦,,,,,,
Wander Guitar,Wander Guitar,流浪吉他,,,,,,
Wander Guitar Desc,A wandering guitar left in the forest,森林里遗落的一把吉他,,,,,,
Wandering Guitar,Missing Guitar,流浪吉他,,,,,,
Wandering Guitar Desc,A wandering guitar left in the forest,森林里遗落的一把吉他,,,,,,
Warm Lantern,Warm Lantern,油灯,,,,,,
Warm Lantern Desc,A warm lantern in the quiet night,夜色中温暖的油灯,,,,,,
Water Grass,Water Grass,水草,,,,,,
Water Grass Desc,Soft green plants beside the water,水边柔软的绿色水草,,,,,,
Water Reed,Water Reed,水草,,,,,,
Water Reed Desc,Soft green plants beside the water,水边柔软的绿色水草,,,,,,
WeatherButton,Weather (W),天气 (W),天气,날씨,Погода,Météo,El tiempo,天気
Wetland,Wetland,湿地,,,,,,
Wetland Flower,Wetland Flower,湿地小花,,,,,,
Wetland Flower Desc,A flower growing in wet soil,湿润泥土中的花,,,,,,
Wheat Ear,Wheat Ear,麦穗,,,,,,
Wheat Ear Desc,Golden wheat swaying in the wind,金色麦穗轻轻摇晃,,,,,,
Wheat Jar,Wheat Jar,麦罐,,,,,,
Wheat Jar Desc,A jar filled with golden wheat,装着丰收麦子的罐子,,,,,,
Whether to purchase?,Confirm your purchase,是否购买？,是否購買？,,,,,
Whistle,Whistle,口哨,,,,,,
White Reed,White Reed,白色芦苇,,,,,,
White Reed Desc,White reeds moving by the shore,海岸轻摇的芦苇,,,,,,
White Reeds,White Reeds,,,,,,,
White Reeds Desc,,,,,,,,
White Wildflower,Wildflower,白野花,,,,,,
White Wildflower Desc,A wild flower blooming in the woods,林间悄然盛开的野花,,,,,,
White-rumped Shama,White-rumped Shama,白腰鹊鸲,,,,,,
White-rumped Shama Desc,"A tiny coastal singer with a bright voice and elegant tail, hopping near",海边的小歌者，尾巴优雅，在礁石间跳跃，用轻柔歌声陪伴海风与浪声。,,,,,,
Wild Berry,Wild Berry,小草莓,,,,,,
Wild Berry Desc,Red berries hidden in grass,躲藏在草丛中的小草莓,,,,,,
Wild Bloom,Wild Bloom,白野花,,,,,,
Wild Bloom Desc,A wild flower blooming in the woods,林间悄然盛开的野花,,,,,,
Wild Goose,Wild Goose,鸿雁,,,,,,
Wild Goose Desc,"A traveler of the sky, flying in formation across long distances, calm",在天空远行的鸟，成群飞行，坚定又安静，带着远方与旅途的感觉。,,,,,,
Wild Strawberry,Red Pal,小草莓,,,,,,
Wild Strawberry Desc,Red berries hidden in grass,躲藏在草丛中的小草莓,,,,,,
Wild goose,Wild Goose,鸿雁,,,,,,
Wind,Wind,刮风,,,,,,
Wind Chime,Wind Chime,风铃,,,,,,
Wind Chime Desc,A wind chime singing in soft breeze,微风带来清脆铃声,,,,,,
Wind Volume,Wind Volume,雾天音量,,,,,,
Windmill,Windmill,风车,,,,,,
Windmill Desc,A windmill turning in open fields,风吹转动的田野风车,,,,,,
Windowed,Windowed,窗口模式,窗口模式,Fenstermodus,Em janela,La fenêtre,Ventaneado,Finestrato
Withered Flower,Faded Bloom,枯萎小花,,,,,,
Withered Flower Desc,A withered flower beside cold stone,风干在岩边的小花,,,,,,
Yellow-browed Bunting,Yellow-browed Bunting,黄鹀,,,,,,
Yellow-browed Bunting Desc,"A gentle yellow bird resting among rice stalks, softly moving and watching,",停在稻穗间的小鸟，颜色温暖，轻轻活动，为田野增添柔和气息。,,,,,,
arabian bustard,,阿拉伯鹳亚种,,,,,,
arabian bustardDescription,A coastal desert wanderer with a striking black- and-white body and bright,海岸荒漠的旅者，黑白相间的羽色与红喙。捕食贝类，象征灵活与精准的生存智慧。,,,,,,
can buy,Buy one？,买一个？,,,,,,
canEnter,type,输入,,,,,,
click/press,click/press,点击/长按,,,,,,
cockatielDescription,"With a tuft of yellow feathers like a tiny crown, this little forest",顶着一撮小黄毛，像戴着小皇冠的森林小精灵。性格乖巧又爱黏人，还会学人说话，陪伴感满满。,頂著一撮小黃毛，像戴著小皇冠的森林小精靈。性格乖巧又愛黏人，還會學人說話，陪伴感滿滿。,"""\uD638\uC8FC \uC6D0\uC0B0\uC758 \uC791\uC740 \uD638\uBC15\uC0C8\uB294","""\u041A\u043E\u043A\u043E\u0441\u0430 \u044F\u0432\u043B\u044F\u0435\u0442\u0441\u044F","""Le perruche est un petit perroquet amical originaire d'Australie. Renomm\xE9","""El cacat\xFAa es un peque\xF1o y amistoso loro nativo de Australia.",cockatielはオーストラリア原産の小型な親鳥で、友好的にして知られていた。冠と啄み声で有名で、世界中で人気のあるペットでもある。
cockatielHabitat,"Loves roaming around the grasslands and farmlands of Australia, and can",最喜欢在澳洲的大草原和农田边转悠，干燥的地方也能自在生活。,最喜歡在澳洲的大草原和農田邊轉悠，乾燥的地方也能自在生活。,"""\uD638\uC8FC \uC804\uC5ED\uC5D0 \uC788\uB294 \uC5F4\uB300\uC6B0\uB9BC,","""\u041A\u043E\u043A\u043E\u0441\u0438 \u0445\u0430\u0440\u0430\u043A\u0442\u0435\u0440\u0438\u0437\u0443\u044E\u0442\u0441\u044F","""Les cockatiels habitent les bois ouverts, les landes et les savanes","Los cataleyas habitan bosques abiertos, zonas de malezas y sabanas en",（コックアチールは、オーストラリアの開けた林野、スクラブランド、サバナに住み着きます。水源近くを好む傾向があります。草原や農地にも適応することができます。）
coin,coin,金币,,,,,,
customName,Name,名字,,,,,,
diaryEnterKey,Today I...,今天...,,,,,,
diarySwitch,Diary,日记,日記,,,,,
drag,drag,拖拽,,,,,,
equip,Equip,装备,,,,,,
equipped,Equipped,已装备,,,,,,
hasbuy,,,,,,,,
min,min,分钟,,,,,,
new egg,new egg,新的蛋,,,,,,
owl,Pharaoh Eagle-Owl,雕鸮,,,,,,
resize,resize,缩放,,,,,,
todoSwitch,To-do list,待办事项,待辦事項,,,,,
· Minute-earning,Minute-earning,分钟收入,• 分鐘賺金,· 1분이익,Минутная заработка,Gain minuteux,Rendimiento-minuto,分間収入
· Price for selling,Release Reward,放飞奖励,• 售價,· 가격으로 판매,Цена за продажу,Prix pour la vente,Preciada para la venta,価格
· Reality,Rarity,稀有度,• 稀有度,· 희귀도,Реальность,Réalité,Realidad,レア度
